name,municipality,iata_code
Utirik Airport,Utirik Island,UTK
Ocean Reef Club Airport,Key Largo,OCA
Pilot Station Airport,Pilot Station,PQS
Crested Butte Airpark,Crested Butte,CSE
LBJ Ranch Airport,Stonewall,JCY
Loring Seaplane Base,Loring,WLR
Nunapitchuk Airport,Nunapitchuk,NUP
Port Alice Seaplane Base,Port Alice,PTC
Icy Bay Airport,Icy Bay,ICY
Port Protection Seaplane Base,Port Protection,PPV
Kalakaket Creek AS Airport,Kalakaket Creek,KKK
Dunsmuir Muni-Mott Airport,Dunsmuir,MHS
Chase Field Industrial Airport,Beeville,NIR
Grand Canyon Bar Ten Airstrip,Littlefield,GCT
Ellamar Seaplane Base,Ellamar,ELW
Lime Village Airport,Lime Village,LVD
Hog River Airport,Hogatza,HGZ
Ed-Air Airport,Oaktown,OTN
Telida Airport,Telida,TLF
Eagle Air Park,Brazoria,BZT
Entrance Island Seaplane Base,Entrance Island,HBH
False Island Seaplane Base,False Island,FAK
Blakely Island Airport,Blakely Island,BYW
Drift River Airport,Kenai,DRF
Rinkenberger Restricted Landing Area,Bradford,BDF
Roy Otten Memorial Airfield,Versailles,VRS
Golden Horn Lodge Seaplane Base,Golden Horn Lodge,GDH
Atmautluak Airport,Atmautluak,ATT
Livengood Camp Airport,Livengood,LIV
Pedro Bay Airport,Pedro Bay,PDB
Ouzinkie Airport,Ouzinkie,KOZ
Tununak Airport,Tununak,TNK
Hyder Seaplane Base,Hyder,WHD
Minto Al Wright Airport,Minto,MNT
Tokeen Seaplane Base,Tokeen,TKI
Aleknagik / New Airport,Aleknagik,WKK
Ketchikan Harbor Seaplane Base,Ketchikan,WFB
Naknek Airport,Naknek,NNK
Lake Brooks Seaplane Base,Katmai National Park,BKF
Southern Seaplane Airport,Belle Chasse,BCS
Catalina Air-Sea Terminal Heliport,San Pedro,SPQ
East 34th Street Heliport,New York,TSS
New York Skyports Inc Seaplane Base,New York,NYS
Earl Henry Airport,Blackwell,BWL
